Index	Name	Type	References	Description
0	slot_name	NAME			"a unique, cluster-wide identifier for the replication slot"
1	plugin	NAME			"the base name of the shared object containing the output plugin this logical slot is using, or null for physical slots."
2	slot_type	TEXT			"the slot type - physical or logical"
3	datoid	OID		pg_database.oid	"the oid of the database this slot is associated with, or null. only logical slots have an associated database."
4	database	TEXT		pg_database.datname	"the name of the database this slot is associated with, or null. only logical slots have an associated database."
5	active	BOOLEAN			"true if this slot is currently actively being used"
6	active_pid	INTEGER			"the process id of the session using this slot if the slot is currently actively being used. null if inactive."
7	xmin	XID			"the oldest transaction that this slot needs the database to retain. vacuum cannot remove tuples deleted by any later transaction."
8	catalog_xmin	XID			"the oldest transaction affecting the system catalogs that this slot needs the database to retain. vacuum cannot remove catalog tuples deleted by any later transaction."
9	restart_lsn	PG_LSN			"the address (lsn) of oldest wal which still might be required by the consumer of this slot and thus won't be automatically removed during checkpoints."
